Subject,Question,Image,OptionA,OptionB,OptionC,OptionD,Answer
Cricket,Which team did India defeat in the final to win the ICC Champions Trophy 2025?,,Australia,England,South Africa,New Zealand,New Zealand
Cricket,Who was India's leading run-scorer in the ICC Champions Trophy 2025?,,Shreyas Iyer,Virat Kohli,Rohit Sharma,KL Rahul,Shreyas Iyer
Cricket,Who took the most wickets for India in the ICC Champions Trophy 2025?,,Axar Patel & Mohammed Shami,Harshit Rana & Varun Chakravarthy,Varun Chakravarthy & Mohammed Shami,Axar Patel & Harshit Rana,Varun Chakravarthy & Mohammed Shami
Cricket,Who was the Player of the Tournament in the ICC Champions Trophy 2025?,,Rachin Ravindra,Virat Kohli,Rohit Sharma,Mitchell Santner,Rachin Ravindra
Cricket,Which country was the official host for ICC Champions Trophy 2025?,,India,UAE,Sri Lanka,Pakistan,Pakistan
Cricket,Who was India's leading run-scorer in the Asia Cup 2025?,,Abhishek Sharma,Tilak Varma,Shubman Gill,Suryakumar Yadav,Abhishek Sharma
Cricket,Who took the most wickets for India in the Asia Cup 2025?,,Varun Chakravarthy,Jasprit Bumrah,Arshdeep Singh,Kuldeep Yadav,Kuldeep Yadav
Cricket,Who was the Player of the Tournament in the Asia Cup 2025?,,Tilak Varma,Arshdeep Singh,Kuldeep Yadav,Abhishek Sharma,Abhishek Sharma
Cricket,Which country was the official host for Asia Cup 2025?,,India,UAE,Sri Lanka,Pakistan,UAE
Cricket,Which team did India defeat in the final to win the ICC Women's Cricket World Cup 2025?,,Australia,England,South Africa,New Zealand,South Africa
Cricket,Who was India's leading run-scorer in the ICC Women's Cricket World Cup 2025?,,Smriti Mandhana,Pratika Rawal,Jemimah Rodrigues,Shafali Verma,Smriti Mandhana
Cricket,Who took the most wickets for India in the ICC Women's Cricket World Cup 2025?,,Deepti Sharma,Shree Charani,Renuka Singh,Kranti Goud,Deepti Sharma
Cricket,Who was the Player of the Tournament in the ICC Women's Cricket World Cup 2025?,,Deepti Sharma,Laura Wolvaardt,Smriti Mandhana,Alyssa Healy,Deepti Sharma
Cricket,Which country was the official host for ICC Women's Cricket World Cup 2025?,,India,India & Sri Lanka,"India, Sri Lanka & Bangladesh",India & Bangladesh,India & Sri Lanka
Cricket,Which team handed India their only defeat during the ICC T20 World Cup 2007?,,Australia,New Zealand,Sri Lanka,South Africa,New Zealand
Cricket,Sachin Tendulkar was the first cricketer to score a double century in an ODI. Against which team did he achieve this feat?,,Australia,New Zealand,Sri Lanka,South Africa,South Africa
Cricket,Which cricketer holds the record for most centuries in One Day Internationals?,,Virat Kohli,Rohit Sharma,Sachin Tendulkar,Steve Smith,Virat Kohli
Cricket,Which edition of ICC Cricket World Cup (ODI) was first played outside England?,,1979,1983,1987,1992,1987
Cricket,Which cricketer holds the record for most centuries in Test Cricket?,,Virat Kohli,Sunil Gavaskar,Sachin Tendulkar,Steve Smith,Sachin Tendulkar
Entertainment,Identify the movie,ques_01.jpg,Kabhi Khushi Kabhi Gam,Baghban,Mohabbatein,Sarkar,Kabhi Khushi Kabhi Gam
Entertainment,Identify the movie,ques_02.jpg,Welcome,Bhagam Bhag,Phir Hera Pheri,Hera Pheri,Phir Hera Pheri
Entertainment,Identify the movie,ques_03.jpg,Sanju,Munna Bhai MBBS,Lagey Raho Munna Bhai,Jolly LLB,Munna Bhai MBBS
Entertainment,Identify the movie,ques_04.jpg,Golmaal,Dhol,Dhamaal,Halchal,Golmaal
Entertainment,Identify the movie,ques_05.jpg,Halchal,Hungama,Chupke Chupke,Chup Chup Ke,Chup Chup Ke
Entertainment,Identify the movie,ques_06.jpg,Waah Teri Shaadi,Vivah,Life Partner,Welcome to Sajjanpur,Vivah
Entertainment,Identify the movie,ques_07.jpg,Welcome,Bhagam Bhag,Phir Hera Pheri,Hera Pheri,Hera Pheri
Entertainment,Identify the movie,ques_08.jpg,Raazi,Bombay Velvet,Masaan,Bhoot,Masaan
Entertainment,Identify the movie,ques_09.jpg,Raazi,Gully Boy,Highway,Udta Punjab,Raazi
Entertainment,Identify the movie,ques_10.jpg,Daud,Dhamaal,Run,Bombay to Goa,Run
Entertainment,Identify the movie,ques_11.jpg,Hungama,Dhol,Dhamaal,Halchal,Hungama
Entertainment,Identify the movie,ques_12.jpg,Golmaal,Dhol,Dhamaal,Halchal,Dhamaal
Entertainment,Identify the movie,ques_13.jpg,Halchal,Andaz Apna Apna,Hungama,Gumnaam,Andaz Apna Apna
Entertainment,Identify the movie,ques_14.jpg,Bachchan Pandey,Bell Bottom,Tees Maar Khan,Khiladi 786,Khiladi 786
Entertainment,Identify the movie,ques_15.jpg,Golmaal,Dhol,All The Best,Dhamaal,All The Best
General Science,Which part of the human brain controls balance and posture?,,Cerebrum,Medulla,Cerebellum,Hypothalamus,Cerebellum
General Science,Which acid is present in lemon?,,Acetic acid,Citric acid,Hydrochloric acid,Lactic acid,Citric acid
General Science,The unit of force is:,,Joule,Pascal,Newton,Watt,Newton
General Science,Which vitamin helps in blood clotting?,,Vitamin A,Vitamin B,Vitamin C,Vitamin K,Vitamin K
General Science,The movement of Earth around the Sun is called:,,Rotation,Revolution,Oscillation,Translation,Revolution
General Science,Sound cannot travel through,,Air,Water,Vacuum,Solid,Vacuum
General Science,Which law explains why passengers fall forward when a bus stops suddenly?,,Newton’s First Law,Newton’s Second Law,Newton’s Third Law,Law of Gravitation,Newton’s First Law
General Science,Heat is transferred in solids mainly by:,,Radiation,Conduction,Convection,Evaporation,Conduction
General Science,Loudness of sound depends on:,,Frequency,Speed,Amplitude,Wavelength,Amplitude
General Science,"According to Ohm’s law, current is directly proportional to:",,Resistance,Power,Voltage,Length of wire,Voltage
General Science,A fuse wire has:,,High melting point,Low resistance,Low melting point,Thick diameter,Low melting point
General Science,Which device converts electrical energy into mechanical energy?,,Generator,Battery,Electric motor,Transformer,Electric motor
General Science,Sound travels fastest in:,,Air,Water,Vacuum,Solid,Solid
General Science,The phenomenon responsible for the formation of image in mirrors is:,,Refraction,Reflection,Dispersion,Diffraction,Reflection
General Science,SI Unit of Electric Conductance:,,Ohm,Mho,Siemens,Weber,Siemens
General Science,The weight of an object becomes zero when:,,It is thrown upward,It is at the center of Earth,It is moving,It is at rest,It is at the center of Earth
Computers & Technology,Which of the following is a secondary storage device?,,RAM,Cache,HDD,Register,HDD
Computers & Technology,Which of the following is a programming language?,,HTML,CSS,Dot Net,MATLAB,MATLAB
Computers & Technology,Which of the following is an example of application software?,,Linux,Windows,MS Word,BIOS,MS Word
Computers & Technology,Which of the following is an output device?,,Mouse,Scanner,Monitor,Keyboard,Monitor
Computers & Technology,Which of the following is an example of system software?,,MS Excel,Paint,Windows,Notepad,Windows
Computers & Technology,Which of the following is not a valid IPv4 address in networking?,,192.268.2.2,127.0.0.1,0xc0a80202,172.124.2.2,192.268.2.2
Computers & Technology,Which one of the following is not a CPU series?,,Pentium,Snapdragon,Athlon,GeForce,GeForce
Computers & Technology,Which of the following device cannot be used for paper printing?,,3D Printer,Laser Printer,Monochrome Printer,Plotter,3D Printer
Computers & Technology,Which of the following is not a communication medium?,,Optical fiber,Microwave,Router,Infrared,Router
Computers & Technology,Which of the following is not a storage media?,,Pendrive,Magnetic Tape,Memory Card,DVD Drive,DVD Drive
Computers & Technology,Which of the following is not a key on a standard keyboard?,,Home,End,Pause/Break,Run,Run
Computers & Technology,Which of the following is not a cyber attack?,,Phishing,Denial of Service (DOS),Bruteforce,Catching,Catching
Computers & Technology,Which of the following is not a networking device?,,Firewall,Router,Network Card,Ethernet,Ethernet
Computers & Technology,Which of the following is not related to Artificial Intelligence?,,Machine Learning,Natural Language Processing,Word Processor,Robotics,Word Processor
Computers & Technology,Which type of document cannot be created in MS Office software package?,,Spreadsheet,Presentation,Database,3D Animation,3D Animation
Computers & Technology,Which of the following is not a search engine on Internet?,,Bing,Duckduckgo,Stackoverflow,Yahoo,Stackoverflow
Computers & Technology,Which of the following is not a variant of Microsoft Windows?,,Windows XP,Windows Server,Microsoft Projects,Windows ME,Microsoft Projects
Computers & Technology,Which of the following is not related to Software Development?,,Compiler,Intepreter,Debugger,Control Panel,Control Panel
Computers & Technology,Which of the following is not a part of Microsoft Office package?,,Access,Paint,Outlook,OneNote,Paint
General Knowledge,Which of the following rivers does not originate in the Himalayas?,,Ganga,Yamuna,Saraswati,Satluj,Saraswati
General Knowledge,Which of these forts is not in Rajasthan?,,Kumbhalgarh Fort,Chittorgarh Fort,Raigad Fort,Mehrangarh Fort,Raigad Fort
General Knowledge,Which city is called the “City of Lakes” in North India?,,Jaipur,Udaipur,Lucknow,Indore,Udaipur
General Knowledge,The “Bhakra Nangal Dam” is built on which river?,,Ganga,Satluj,Yamuna,Beas,Satluj
General Knowledge,Which city is considered the cultural capital of North India for classical music and dance?,,Lucknow,Varanasi,Jaipur,Amritsar,Varanasi
General Knowledge,Which is the highest peak in North India?,,Nanda Devi,Kangchenjunga,Trisul,Kamet,Kangchenjunga
General Knowledge,The headquarters of Indian Army Northern Command is located at:,,Jaipur,Udhampur,Chandigarh,Dehradun,Udhampur
General Knowledge,Which North Indian city hosts the “International Yoga Festival”?,,Rishikesh,Haridwar,Dehradun,Roorkee,Rishikesh
General Knowledge,"As of 2025, how many Union Territories are there in India?",,6,7,8,9,8
General Knowledge,Which river is called the “Dakshin Ganga” (Ganga of the South)?,,Godavari,Kaveri,Krishna,Bhima,Godavari
General Knowledge,Which river passes through the famous Jim Corbett National Park?,,Ganga,Ramganga,Yamuna,Betwa,Ramganga
